region_code,region_name,total_pop,elderly_pop,biz_count,ibk_branches,data_status
11110,종로구,139874,33412,28763,8,placeholder
11140,중구,120386,29847,35914,13,placeholder
11170,용산구,214593,45873,20948,5,placeholder
11200,성동구,281473,53921,28974,7,placeholder
11215,광진구,334918,61483,26847,5,placeholder
11230,동대문구,336241,71968,26518,6,placeholder
11260,중랑구,385947,87365,24518,5,placeholder
11290,성북구,424867,91674,25836,5,placeholder
11305,강북구,289756,68924,18954,4,placeholder
11320,도봉구,304967,73842,17482,4,placeholder
11350,노원구,495213,107856,27153,5,placeholder
11380,은평구,461248,101529,24671,5,placeholder
11410,서대문구,304582,61847,22841,5,placeholder
11440,마포구,365127,67953,33965,7,placeholder
11470,양천구,436915,83296,27692,6,placeholder
11500,강서구,564821,103648,41276,8,placeholder
11530,구로구,394685,82165,36921,9,placeholder
11545,금천구,229847,47912,32874,8,placeholder
11560,영등포구,384726,79614,46853,12,placeholder
11590,동작구,379854,78412,24237,5,placeholder
11620,관악구,486372,95837,30985,5,placeholder
11650,서초구,406319,69851,51783,11,placeholder
11680,강남구,552847,96412,81743,18,placeholder
11710,송파구,651284,117483,48912,10,placeholder
11740,강동구,464193,83571,33812,6,placeholder
